"KundenadressePLZ","Ort","Land","Sum(Totalbetrag)","adresse","coordinate","latitude","longitude"
,,,798.0,,,,
1000,"Lausanne","Schweiz",6333.9000000000015,"1000 Lausanne, Schweiz","46.567488 6.6809642",46.567488,6.6809642
1001,,,152.6,,,,
1003,"Lausanne","Schweiz",2110.0500000000006,"1003 Lausanne, Schweiz","46.5207933 6.6314894",46.5207933,6.6314894
1004,"Lausanne","Schweiz",13370.05,"1004 Lausanne, Schweiz","46.5300393 6.6179495",46.5300393,6.6179495
1005,"Lausanne","Schweiz",7589.0999999999985,"1005 Lausanne, Schweiz","46.52013909999999 6.6427496",46.52013909999999,6.6427496
1006,"Lausanne","Schweiz",11353.049999999996,"1006 Lausanne, Schweiz","46.5096537 6.6360259",46.5096537,6.6360259
1007,"Lausanne","Schweiz",15031.699999999993,"1007 Lausanne, Schweiz","46.516054 6.608998000000001",46.516054,6.608998000000001
1008,"Jouxtens-Mézery","Schweiz",9921.199999999993,"1008 Jouxtens-Mézery, Schweiz","46.55043 6.598739999999999",46.55043,6.598739999999999
1009,"Pully","Schweiz",13745.599999999986,"1009 Pully, Schweiz","46.513112 6.6596571",46.513112,6.6596571
1010,"Lausanne","Schweiz",9206.099999999995,"1010 Lausanne, Schweiz","46.53761859999999 6.6539665",46.53761859999999,6.6539665
1012,"Lausanne","Schweiz",10680.799999999996,"1012 Lausanne, Schweiz","46.5277489 6.6573705",46.5277489,6.6573705
1014,,,199.0,,,,
1015,"Lausanne","Schweiz",163.70000000000002,"1015 Lausanne, Schweiz","46.5195985 6.5684919",46.5195985,6.5684919
1018,"Lausanne","Schweiz",3299.2999999999997,"1018 Lausanne, Schweiz","46.5341574 6.6303209",46.5341574,6.6303209
1020,"Renens VD","Schweiz",5908.299999999997,"1020 Renens VD, Schweiz","46.53643779999999 6.5909099",46.53643779999999,6.5909099
1022,"Chavannes-près-Renens","Schweiz",1924.95,"1022 Chavannes-près-Renens, Schweiz","46.52786690000001 6.5718239",46.52786690000001,6.5718239
1023,"Crissier","Schweiz",4423.100000000001,"1023 Crissier, Schweiz","46.5542783 6.5750685",46.5542783,6.5750685
1024,"Ecublens VD","Schweiz",8043.049999999997,"1024 Ecublens VD, Schweiz","46.5285135 6.5605744",46.5285135,6.5605744
