ID	Name	Strasse	PLZ	Ort	Adresse
0	Landi La Côte SA	Chemin d'Etraz 1	1027	Lonay	"Chemin d'Etraz 1, Lonay, Switzerland"
1	LANDI Moudon-Bercher-Mézières	Place de la Gare 10	1038	Bercher	"Place de la Gare 10, Bercher, Switzerland"
2	LANDI Assens	Rte. d’Yverdon 4	1042	Assens	"Rte. d’Yverdon 4, Assens, Switzerland"
3	LANDI Puidoux	Route du Verney 2	1070	Puidoux-Gare	"Route du Verney 2, Puidoux-Gare, Switzerland"
4	Landi Moudon-Bercher-Mézières	Route du Village 70	1083	Mézières VD	"Route du Village 70, Mézières VD, Switzerland"
5	Landi La Côte SA	Ch. du Curbit 1	1136	Bussy-Chardonney	"Ch. du Curbit 1, Bussy-Chardonney, Switzerland"
6	Landi La Côte SA	Av. de la Gare 1	1166	Perroy	"Av. de la Gare 1, Perroy, Switzerland"
7	CERCLE DES AGRICULTEURS	Chemin des Cornaches 1	1233	Bernex	"Chemin des Cornaches 1, Bernex, Switzerland"
8	CERCLE DES AGRICULTEURS	Rue des Sablières 15	1242	Satigny	"Rue des Sablières 15, Satigny, Switzerland"
9	CERCLE DES AGRICULTEURS	Route de Compois 14	1252	Meinier	"Route de Compois 14, Meinier, Switzerland"
10	Cercle des Agriculteurs Veyrier	Chemin des Marais 52	1255	Veyrier	"Chemin des Marais 52, Veyrier, Switzerland"
11	LANDI La Côte SA	Route de Crassier 27	1262	Eysins	"Route de Crassier 27, Eysins, Switzerland"
12	LANDI Nord vaudois-Venoge SA	Route de Dizy 1	1304	Cossonay-Ville	"Route de Dizy 1, Cossonay-Ville, Switzerland"
13	LANDI Nord vaudois-Venoge SA	Chemin de Longeraie 1 / Case postale 120	1350	Orbe	"Chemin de Longeraie 1 / Case postale 120, Orbe, Switzerland"
14	LANDI Nord vaudois-Venoge SA	Avenue des Sports 48	1400	Yverdon-les-Bains	"Avenue des Sports 48, Yverdon-les-Bains, Switzerland"
15	LANDI Centre Broye	Pl. de la Gare 7	1470	Estavayer-le-Lac	"Pl. de la Gare 7, Estavayer-le-Lac, Switzerland"
16	LANDI Moudon-Bercher-Mézières	Rte de Bronjon 2; cp 257	1510	Moudon	"Rte de Bronjon 2; cp 257, Moudon, Switzerland"
17	LANDI Granges - Combremont	Rue du Canard 12	1523	Granges-Marnand	"Rue du Canard 12, Granges-Marnand, Switzerland"
18	LANDI Centre Broye	Charrière d'Estavayer 21	1530	Payerne	"Charrière d'Estavayer 21, Payerne, Switzerland"
19	LANDI Broye-Vully SA	Au Milavy	1580	Avenches	"Au Milavy, Avenches, Switzerland"
20	Société coopérative agricole de la région d'Oron	Route de Lausanne 39	1610	Oron-la-Ville	"Route de Lausanne 39, Oron-la-Ville, Switzerland"
21	LANDI Moléson SA	Rue de Montreux 140	1618	Châtel-St-Denis	"Rue de Montreux 140, Châtel-St-Denis, Switzerland"
22	LANDI Moléson SA	Route de Riaz 87	1630	Bulle	"Route de Riaz 87, Bulle, Switzerland"
23	LANDI Moléson SA	Rte de Saanen 2	1660	Château-d'Oex	"Rte de Saanen 2, Château-d'Oex, Switzerland"
24	LANDI Vauderens	Rte d'Ursy 10	1675	Vauderens	"Rte d'Ursy 10, Vauderens, Switzerland"
25	LANDI de Romont Société coopérative	Route de Billens 18	1680	Romont	"Route de Billens 18, Romont, Switzerland"
26	LANDI Sense-Düdingen	Dorfschaftsstrasse 2	1712	Tafers	"Dorfschaftsstrasse 2, Tafers, Switzerland"
27	LANDI Sense-Düdingen	Hauptstrasse 47	1714	Heitenried	"Hauptstrasse 47, Heitenried, Switzerland"
28	LANDI Sense-Oberland	Obere Matte 20	1716	Plaffeien	"Obere Matte 20, Plaffeien, Switzerland"
29	LANDI Sarine SA	Route de Chésalles 3	1723	Marly	"Route de Chésalles 3, Marly, Switzerland"
30	LANDI Sarine SA	Route du Barrage 11	1733	Treyvaux	"Route du Barrage 11, Treyvaux, Switzerland"
31	LANDI Sense-Oberland	Oberlandstrasse 1	1734	Tentlingen	"Oberlandstrasse 1, Tentlingen, Switzerland"
32	LANDI Chénens Société Coopérative	Rue de la Gare 81	1744	Chénens	"Rue de la Gare 81, Chénens, Switzerland"
33	LANDI Sarine SA	Route du P.A.A. 25	1772	Grolley	"Route du P.A.A. 25, Grolley, Switzerland"
34	LANDI Moulin Courtepin Société coopérative	Route de Morat 15B	1784	Courtepin	"Route de Morat 15B, Courtepin, Switzerland"
35	LANDI Aigle	Ch. de la Biole 2	1860	Aigle	"Ch. de la Biole 2, Aigle, Switzerland"
36	LANDI Saxon	Route du Léman 12	1907	Saxon	"Route du Léman 12, Saxon, Switzerland"
37	Société coopérative d'agriculture	Route de la Gare 8	1926	Fully	"Route de la Gare 8, Fully, Switzerland"
38	LANDI Région Neuchâtel SA	Chemin des Maladières 14	2022	Bevaix	"Chemin des Maladières 14, Bevaix, Switzerland"
39	LANDI Val-de-Ruz Société coopérative	Passage des Cèpes 1	2053	Cernier	"Passage des Cèpes 1, Cernier, Switzerland"
40	LANDI Région Neuchâtel SA	Rue du Moulin 10	2087	Cornaux	"Rue du Moulin 10, Cornaux, Switzerland"
41	LANDI Région Neuchâtel SA	Rue de la Gare 14	2112	Môtiers	"Rue de la Gare 14, Môtiers, Switzerland"
42	LANDI Région Neuchâtel SA	Crêt-du-Locle 28	2322	Le Crêt-du-Locle	"Crêt-du-Locle 28, Le Crêt-du-Locle, Switzerland"
43	LANDI ArcJura SA	Chemin des Labours 12	2350	Saignelégier	"Chemin des Labours 12, Saignelégier, Switzerland"
44	LANDI RESO	Neckarsulmstrasse 50	2540	Grenchen	"Neckarsulmstrasse 50, Grenchen, Switzerland"
45	LANDI Seeland AG	Keltenstrasse 47	2564	Bellmund	"Keltenstrasse 47, Bellmund, Switzerland"
46	LANDI ArcJura SA	Grand-Rue 102	2608	Courtelary	"Grand-Rue 102, Courtelary, Switzerland"
47	LANDI Vallée de Tavannes	Route Principale 1	2733	Pontenet	"Route Principale 1, Pontenet, Switzerland"
48	LANDI ArcJura SA	Dos les Terras 3	2744	Belprahon	"Dos les Terras 3, Belprahon, Switzerland"
49	LANDI ArcJura SA	Route de Moutier 111	2800	Delémont	"Route de Moutier 111, Delémont, Switzerland"
50	AGRO Centre et Jardin-Service	Rue Vieux-Moulin 1	2852	Courtételle	"Rue Vieux-Moulin 1, Courtételle, Switzerland"
51	Coopérative agricole Landi Clos-du-Doubs	Route des Rangiers 56	2882	St-Ursanne	"Route des Rangiers 56, St-Ursanne, Switzerland"
52	LANDI ArcJura SA	Pré-Domont 2	2942	Alle	"Pré-Domont 2, Alle, Switzerland"
53	LANDI Wohlensee	Hauptstrasse 19	3033	Wohlen b. Bern	"Hauptstrasse 19, Wohlen b. Bern, Switzerland"
54	LANDI Wohlensee	Säriswilstrasse 13	3043	Uettligen	"Säriswilstrasse 13, Uettligen, Switzerland"
55	LANDI Moossee	Eichenweg 35	3052	Zollikofen	"Eichenweg 35, Zollikofen, Switzerland"
56	LANDI Moossee	Bahnhofstr. 5	3053	Münchenbuchsee	"Bahnhofstr. 5, Münchenbuchsee, Switzerland"
57	LANDI Moossee	Lyssstrasse 1	3054	Schüpfen	"Lyssstrasse 1, Schüpfen, Switzerland"
58	LANDI Bolligen Genossenschaft	Bolligenstrasse 92	3065	Bolligen	"Bolligenstrasse 92, Bolligen, Switzerland"
59	LANDI Vechigen	Bahnhofstrasse 2	3067	Boll	"Bahnhofstrasse 2, Boll, Switzerland"
60	LANDI Aare Genossenschaft	Rubigenstrasse 80	3076	Worb	"Rubigenstrasse 80, Worb, Switzerland"
61	LANDI Thun Genossenschaft	Dorfstrasse 30	3088	Rüeggisberg	"Dorfstrasse 30, Rüeggisberg, Switzerland"
62	LANDI Laden Köniz	Gartenstadtstrasse 7a	3098	Köniz	"Gartenstadtstrasse 7a, Köniz, Switzerland"
