"ID";"Name";"Strasse";"PLZ";"Ort";"Adresse";"coordinate";"latitude";"longitude"
0;"Landi La Côte SA";"Chemin d'Etraz 1";1027;"Lonay";"Chemin d'Etraz 1, Lonay, Switzerland";"46.5266272 6.5275636";46.5266272;6.5275636
1;"LANDI Moudon-Bercher-Mézières";"Place de la Gare 10";1038;"Bercher";"Place de la Gare 10, Bercher, Switzerland";"46.69173019999999 6.7030598";46.69173019999999;6.7030598
2;"LANDI Assens";"Rte. d’Yverdon 4";1042;"Assens";"Rte. d’Yverdon 4, Assens, Switzerland";"46.6141116 6.6213688";46.6141116;6.6213688
3;"LANDI Puidoux";"Route du Verney 2";1070;"Puidoux-Gare";"Route du Verney 2, Puidoux-Gare, Switzerland";"46.4910546 6.768967200000001";46.4910546;6.768967200000001
4;"Landi Moudon-Bercher-Mézières";"Route du Village 70";1083;"Mézières VD";"Route du Village 70, Mézières VD, Switzerland";"46.6004807 6.772043000000001";46.6004807;6.772043000000001
5;"Landi La Côte SA";"Ch. du Curbit 1";1136;"Bussy-Chardonney";"Ch. du Curbit 1, Bussy-Chardonney, Switzerland";"46.5255742 6.4432046";46.5255742;6.4432046
6;"Landi La Côte SA";"Av. de la Gare 1";1166;"Perroy";"Av. de la Gare 1, Perroy, Switzerland";"46.4612281 6.3395569";46.4612281;6.3395569
7;"CERCLE DES AGRICULTEURS";"Chemin des Cornaches 1";1233;"Bernex";"Chemin des Cornaches 1, Bernex, Switzerland";"46.16093009999999 6.0669432";46.16093009999999;6.0669432
8;"CERCLE DES AGRICULTEURS";"Rue des Sablières 15";1242;"Satigny";"Rue des Sablières 15, Satigny, Switzerland";"46.219962 6.0605598";46.219962;6.0605598
9;"CERCLE DES AGRICULTEURS";"Route de Compois 14";1252;"Meinier";"Route de Compois 14, Meinier, Switzerland";"46.2462838 6.2186159";46.2462838;6.2186159
10;"Cercle des Agriculteurs Veyrier";"Chemin des Marais 52";1255;"Veyrier";"Chemin des Marais 52, Veyrier, Switzerland";"46.1631985 6.1665155";46.1631985;6.1665155
11;"LANDI La Côte SA";"Route de Crassier 27";1262;"Eysins";"Route de Crassier 27, Eysins, Switzerland";"46.3846293 6.2128457";46.3846293;6.2128457
12;"LANDI Nord vaudois-Venoge SA";"Route de Dizy 1";1304;"Cossonay-Ville";"Route de Dizy 1, Cossonay-Ville, Switzerland";"46.6196334 6.506737";46.6196334;6.506737
13;"LANDI Nord vaudois-Venoge SA";"Chemin de Longeraie 1 / Case postale 120";1350;"Orbe";"Chemin de Longeraie 1 / Case postale 120, Orbe, Switzerland";"46.7196604 6.541421499999999";46.7196604;6.541421499999999
14;"LANDI Nord vaudois-Venoge SA";"Avenue des Sports 48";1400;"Yverdon-les-Bains";"Avenue des Sports 48, Yverdon-les-Bains, Switzerland";"46.779355 6.6536228";46.779355;6.6536228
15;"LANDI Centre Broye";"Pl. de la Gare 7";1470;"Estavayer-le-Lac";"Pl. de la Gare 7, Estavayer-le-Lac, Switzerland";"46.8438753 6.842821";46.8438753;6.842821
16;"LANDI Moudon-Bercher-Mézières";"Rte de Bronjon 2; cp 257";1510;"Moudon";"Rte de Bronjon 2; cp 257, Moudon, Switzerland";"46.66847620000001 6.8040385";46.66847620000001;6.8040385
17;"LANDI Granges - Combremont";"Rue du Canard 12";1523;"Granges-Marnand";"Rue du Canard 12, Granges-Marnand, Switzerland";"46.7578361 6.8930175";46.7578361;6.8930175
18;"LANDI Centre Broye";"Charrière d'Estavayer 21";1530;"Payerne";"Charrière d'Estavayer 21, Payerne, Switzerland";"46.82770619999999 6.9295263";46.82770619999999;6.9295263
19;"LANDI Broye-Vully SA";"Au Milavy";1580;"Avenches";"Au Milavy, Avenches, Switzerland";"46.8751528 7.031391999999999";46.8751528;7.031391999999999
20;"Société coopérative agricole de la région d'Oron";"Route de Lausanne 39";1610;"Oron-la-Ville";"Route de Lausanne 39, Oron-la-Ville, Switzerland";"46.5705964 6.8184128";46.5705964;6.8184128
21;"LANDI Moléson SA";"Rue de Montreux 140";1618;"Châtel-St-Denis";"Rue de Montreux 140, Châtel-St-Denis, Switzerland";"46.5185148 6.9055975";46.5185148;6.9055975
22;"LANDI Moléson SA";"Route de Riaz 87";1630;"Bulle";"Route de Riaz 87, Bulle, Switzerland";"46.62767669999999 7.0591294";46.62767669999999;7.0591294
