Postleitzahl,Ort,Kanton,Land
1000,Lausanne,Waadt,Schweiz
1003,Lausanne,Waadt,Schweiz
1004,Lausanne,Waadt,Schweiz
1005,Lausanne,Waadt,Schweiz
1006,Lausanne,Waadt,Schweiz
1007,Lausanne,Waadt,Schweiz
1008,Jouxtens-Mézery,Waadt,Schweiz
1009,Pully,Waadt,Schweiz
1010,Lausanne,Waadt,Schweiz
1011,Lausanne,Waadt,Schweiz
1012,Lausanne,Waadt,Schweiz
1015,Lausanne,Waadt,Schweiz
1018,Lausanne,Waadt,Schweiz
1020,Renens VD,Waadt,Schweiz
1022,Chavannes-près-Renens,Waadt,Schweiz
1023,Crissier,Waadt,Schweiz
1024,Ecublens VD,Waadt,Schweiz
1025,St-Sulpice VD,Waadt,Schweiz
1026,Denges,Waadt,Schweiz
1027,Lonay,Waadt,Schweiz
1028,Préverenges,Waadt,Schweiz
1029,Villars-Ste-Croix,Waadt,Schweiz
1030,Bussigny-près-Lausanne,Waadt,Schweiz
1031,Mex VD,Waadt,Schweiz
1032,Romanel-sur-Lausanne,Waadt,Schweiz
1033,Cheseaux-sur-Lausanne,Waadt,Schweiz
1034,Boussens,Waadt,Schweiz
1035,Bournens,Waadt,Schweiz
1036,Sullens,Waadt,Schweiz
1037,Etagnières,Waadt,Schweiz
1038,Bercher,Waadt,Schweiz
1040,St-Barthélemy VD,Waadt,Schweiz
1041,Dommartin,Waadt,Schweiz
1042,Bettens,Waadt,Schweiz
1043,Sugnens,Waadt,Schweiz
1044,Fey,Waadt,Schweiz
1045,Ogens,Waadt,Schweiz
1046,Rueyres,Waadt,Schweiz
1047,Oppens,Waadt,Schweiz
1052,Le Mont-sur-Lausanne,Waadt,Schweiz
1053,Bretigny-sur-Morrens,Waadt,Schweiz
1054,Morrens VD,Waadt,Schweiz
1055,Froideville,Waadt,Schweiz
1058,Villars-Tiercelin,Waadt,Schweiz
1059,Peney-le-Jorat,Waadt,Schweiz
1061,Villars-Mendraz,Waadt,Schweiz
1062,Sottens,Waadt,Schweiz
1063,Peyres-Possens,Waadt,Schweiz
1066,Epalinges,Waadt,Schweiz
1068,Les Monts-de-Pully,Waadt,Schweiz
1070,Puidoux,Waadt,Schweiz
1071,Rivaz,Waadt,Schweiz
1072,Forel (Lavaux),Waadt,Schweiz
1073,Mollie-Margot,Waadt,Schweiz
1076,Ferlens VD,Waadt,Schweiz
1077,Servion,Waadt,Schweiz
1078,Essertes,Waadt,Schweiz
1080,Les Cullayes,Waadt,Schweiz
1081,Montpreveyres,Waadt,Schweiz
1082,Corcelles-le-Jorat,Waadt,Schweiz
1083,Mézières VD,Waadt,Schweiz
1084,Carrouge VD,Waadt,Schweiz
1085,Vulliens,Waadt,Schweiz
1088,Ropraz,Waadt,Schweiz
1090,La Croix (Lutry),Waadt,Schweiz
1091,Aran,Waadt,Schweiz
1092,Belmont-sur-Lausanne,Waadt,Schweiz
1093,La Conversion,Waadt,Schweiz
1094,Paudex,Waadt,Schweiz
1095,Lutry,Waadt,Schweiz
1096,Villette (Lavaux),Waadt,Schweiz
1097,Riex,Waadt,Schweiz
1098,Epesses,Waadt,Schweiz
1110,Morges,Waadt,Schweiz
1112,Echichens,Waadt,Schweiz
1113,St-Saphorin-sur-Morges,Waadt,Schweiz
1114,Colombier VD,Waadt,Schweiz
1115,Vullierens,Waadt,Schweiz
1116,Cottens VD,Waadt,Schweiz
1117,Grancy,Waadt,Schweiz
1121,Bremblens,Waadt,Schweiz
1122,Romanel-sur-Morges,Waadt,Schweiz
1123,Aclens,Waadt,Schweiz
1124,Gollion,Waadt,Schweiz
1125,Monnaz,Waadt,Schweiz
1126,Vaux-sur-Morges,Waadt,Schweiz
1127,Clarmont,Waadt,Schweiz
1128,Reverolle,Waadt,Schweiz
1131,Tolochenaz,Waadt,Schweiz
1132,Lully VD,Waadt,Schweiz
1134,Vufflens-le-Château,Waadt,Schweiz
1135,Denens,Waadt,Schweiz
1136,Bussy-Chardonney,Waadt,Schweiz
1141,Sévery,Waadt,Schweiz
